,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name,traditional_funding_before,traditional_funding_after,%,profit,blockchain,single,token_utility_product,only_payment,transaction,generation,other_usage,main_value,voting_shareholder,voting_product,voting_other,profit_sharing,info, funding ,coin_offered,cap_money,same_price,expensive,start_date,ICO_days,cap_time,bitcoin,Ethereum,other_bc,bs,other_p,transaction_fee
Ethereum,0,0,100%,0,1,1,1,1,0,1,0,1,0,0,1,0,1," 18,000,000 ",0.83,0,0,1,Jul-14,42,1,1,0,0,0,0,0
Golem,0,0,100%,0,1,0,1,1,0,0,0,1,0,0,0,0,1," 8,600,000 ",0.82,1,1,0,Nov-16,1,1,0,1,0,0,0,0
Lykke,1,1,23.86%,1,1,0,0,0,0,1,1,2,1,0,0,1,1," 1,161,338 ",0.02,0,1,0,Sep-16,28,1,1,0,0,0,0,0
Lisk,0,0,100%,0,1,1,1,1,0,1,0,1,0,0,1,0,1," 60,000,000 ",0.85,0,0,1,Feb-16,28,1,1,0,1,0,0,0
Qtum,1,0,93.97%,0,1,1,1,1,0,1,0,1,0,0,0,0,1," 15,600,000 ",0.51,1,0,1,Apr-17,5,1,1,1,0,0,0,0
Gnosis,0,0,100%,1,1,0,1,1,0,0,0,1,0,0,0,0,1," 12,500,000 ",0.05,1,0,0,Apr-17,1,0,0,1,0,0,0,1
Humaniq,0,0,100%,0,1,0,0,1,1,1,0,3,0,0,0,0,1," 5,163,000 ",0.86,0,0,1,Apr-17,21,1,1,1,0,0,0,0
Iconomi,0,0,100%,1,1,0,0,0,0,0,1,2,1,1,1,1,1," 10,576,227 ",0.85,0,0,1,Aug-16,32,1,1,1,1,0,1,0
SJCX,0,1,8.61%,1,1,0,1,1,0,1,0,1,0,0,0,0,1," 461,802 ",0.70,1,0,1,Sep-14,31,1,1,0,0,0,0,0
Storj ,1,0,86.1%,1,1,0,1,1,0,1,0,1,0,0,0,0,1," 30,000,000 ",0.25,1,1,0,May-17,6,1,1,1,0,0,0,0
BAT ,1,0,83%,1,1,0,1,1,0,0,0,1,0,0,0,0,1," 35,000,000 ",0.67,1,1,0,May-17,0.002778,1,0,1,0,0,0,1
Status,0,0,100%,0,1,0,1,1,0,0,1,1,1,1,1,0,1," 99,400,000 ",0.44,1,1,0,Jun-17,1,1,0,1,0,0,0,0
Bancor,0,0,100%,1,1,0,1,0,1,0,0,1,0,0,0,0,1," 147,000,000 ",0.50,0,1,0,Jun-17,1,1,0,1,0,0,0,0
Civic,1,0,92.30%,1,1,0,1,1,0,0,1,1,0,0,0,0,1," 33,000,000 ",0.33,1,1,0,Jun-17,1,0,1,1,0,0,0,0
EOS,0,0,100%,0,1,1,0,0,0,0,0,4,0,0,0,0,0,,0.90,0,0,0,Jun-17,351,1,0,1,0,0,0,0
IOTA,0,0,100%,0,0,1,0,1,1,0,1,3,0,0,0,0,1," 584,000 ",1.00,0,0,1,Nov-15,27,0,1,0,1,0,0,0
Tezos,0,0,100%,0,1,1,0,1,1,0,0,3,0,0,0,0,1," 232,000,000 ",0.79,0,0,1,Jul-17,14,1,1,1,0,0,0,0
NEM,0,0,100%,0,1,1,1,1,0,1,0,1,0,0,1,0,0," 50,000 ",1.00,1,0,1,Jan-14,15,0,1,0,1,0,0,0
Stratis,0,0,100%,1,1,1,1,0,0,1,1,1,0,0,0,0,1," 600,000 ",0.86,0,0,1,Jul-16,35,1,1,0,0,0,0,0
NEO (2nd),0,0,100%,0,1,1,1,1,0,1,1,1,1,1,0,0,1," 4,500,000 ",0.23,0,0,1,Aug-16,31,1,1,0,0,0,0,0
BitConnect,0,0,100%,0,1,1,0,1,1,1,0,3,0,0,0,0,1," 1,050,000 ",0.17,0,0,1,Nov-16,56,1,1,0,0,0,0,0
Veritaseum,0,0,100%,1,1,0,0,0,1,0,0,3,0,0,0,0,0," 11,000,000 ",0.51,0,0,1,Apr-17,31,1,0,1,0,0,0,0
Waves,0,0,100%,1,1,1,0,1,1,1,1,3,0,1,0,0,1," 16,000,000 ",0.85,0,0,1,Apr-16,33,1,1,1,0,0,0,0
Augur,0,0,100%,1,1,0,0,0,0,0,1,2,0,0,1,1,1," 5,300,000 ",0.80,0,0,1,Aug-15,45,1,1,1,0,0,1,0
Populous,0,0,100%,1,1,0,1,1,0,0,0,1,0,0,0,0,1," 10,220,400 ",0.66,1,0,0,Jul-17,19,1,0,1,0,0,0,0
MaidSafeCoin,0,1,79%,0,1,1,1,1,0,1,0,1,0,0,0,0,0," 6,000,000 ",0.10,1,1,0,Apr-14,0.25,1,1,0,1,0,0,0
DigixDAO,0,0,100%,1,1,0,0,1,0,0,1,2,1,1,0,1,1," 5,500,000 ",0.85,1,0,1,Mar-16,0.5,1,0,1,0,0,0,0
OmiseGo,1,0,55%,1,1,0,1,1,0,0,0,1,0,0,0,0,1," 25,000,000 ",0.65,1,1,0,Jun-17,0,1,1,1,0,1,0,1
Komodo,0,0,100%,0,1,1,0,1,1,1,0,3,0,0,0,0,1," 1,983,781 ",0.90,1,0,1,Oct-16,35,1,1,0,1,0,0,0
TenX,1,0,97%,1,1,0,0,0,0,0,0,2,0,0,0,1,1," 34,000,000 ",0.80,1,0,1,Jul-17,0.004,1,1,1,1,0,1,1
MobileGo,0,0,100%,1,0,0,1,1,0,0,1,4,0,0,0,1,1," 53,000,000 ",0.70,0,0,1,Apr-17,30,1,0,1,1,0,0,0
Metal,1,0,,1,1,0,0,1,1,0,0,3,0,0,0,0,1,,0.29,1,0,1,Jun-17,1,1,0,1,0,0,0,0
SingularDTV,0,0,100%,1,0,0,1,0,0,0,1,2,0,0,0,1,1," 7,500,000 ",0.50,1,1,0,Oct-16,0.02,1,0,1,0,0,0,1
SysCoin,0,0,100%,1,1,1,1,1,0,1,0,1,0,0,0,0,1," 600,000 ",0.15,1,0,1,Aug-14,25,1,0,0,0,0,1,0
FirstBlood,0,0,100%,1,1,0,1,0,0,0,1,1,0,0,0,0,1," 5,500,000 ",0.85,1,1,0,Sep-16,0.02,1,0,1,0,0,1,1
Aragon,0,0,100%,0,1,0,1,0,0,1,1,1,1,1,1,0,1," 25,000,000 ",0.70,1,1,0,May-17,0.02,0,0,1,0,0,1,1
Ark,0,0,100%,0,1,1,1,1,0,0,1,1,0,0,1,0,1," 998,000 ",0.75,0,0,1,Nov-16,35,1,1,0,1,0,1,0
Metaverse Ent...,0,0,100%,1,1,1,1,1,0,1,0,1,0,0,0,0,1," 2,250,000 ",0.22,1,1,0,Aug-16,31,1,1,0,0,0,1,0
FunFair,0,0,100%,1,0,0,1,1,0,0,0,1,0,0,0,0,1," 26,000,000 ",0.21,1,1,0,Jun-17,0.1666666667,1,1,1,1,0,1,0
Nexus,0,0,100%,1,0,0,1,1,0,0,0,1,0,0,0,0,1," 6,492,286 ",0.95,1,0,1,Jul-17,28,1,0,1,0,0,0,0
DECENT,0,0,100%,0,1,1,1,1,0,0,1,1,0,0,0,0,1," 4,740,000 ",0.70,1,0,1,Sep-16,56,1,1,0,0,0,1,0
Blocknet,0,0,100%,1,1,1,1,1,0,0,0,3,0,0,0,0,0," 950,064 ",,1,1,0,Oct-14,30,1,1,0,0,0,0,0
Edgeless,0,0,100%,1,1,0,1,0,0,0,1,2,0,0,0,1,1," 2,000,000 ",0.88,1,0,1,Feb-17,21,1,0,1,0,0,1,0
ReddCoin,0,0,100%,0,1,1,0,1,1,1,0,3,0,0,0,0,1," 100,000 ",0.05,1,1,0,Jan-14,26,1,1,0,0,0,0,0
Round,0,0,100%,1,1,0,1,1,0,1,0,1,0,0,0,0,0," 650,000 ",,1,1,0,Nov-16,0.01,1,0,1,0,0,0,1
Peerplays,1,0,52.63%,1,1,1,0,0,0,0,1,2,1,1,0,1,1," 5,000,000 ",0.16,1,0,1,Feb-17,84,1,1,0,0,0,0,0
Wings,0,0,100%,0,1,0,1,1,0,0,1,1,0,0,1,0,1," 1,400,000 ",0.75,1,0,1,Nov-16,49,1,1,1,1,0,0,0
Etheroll,0,0,100%,1,1,0,1,1,0,0,0,1,0,0,0,1,1," 355,208 ",0.91,1,0,1,Feb-17,14,1,0,1,0,0,0,0
Pillar,0,0,100%,1,1,0,1,0,0,0,0,1,0,0,0,0,1," 21,210,000 ",0.72,1,1,0,Jul-17,2.5,1,0,1,0,0,0,0
iExec RLC,0,0,100%,1,1,0,1,1,0,0,0,1,0,0,0,0,1," 12,000,000 ",0.69,1,0,1,Apr-17,0.23,1,1,1,0,0,0,1
 vSlice,0,0,100%,1,1,0,0,0,0,0,1,2,0,0,0,1,1," 1,647,000 ",1.00,1,0,1,Nov-16,28,1,0,1,0,0,0,0
 Melon,0,0,100%,1,1,0,1,1,0,1,0,1,0,0,0,0,1," 2,900,000 ",0.40,1,1,0,Feb-17,0.0069444444,1,0,1,0,0,0,1
 Xaurum,0,0,100%,0,1,0,0,0,1,1,0,3,0,0,0,0,0," 851,342 ",1.00,0,0,0,Jul-16,13,1,1,1,1,0,1,0
 BitBay,0,0,100%,1,1,1,1,0,0,0,0,1,0,0,0,0,0," 390,000 ",1.00,1,0,1,Nov-14,4,1,1,0,0,0,0,0
 DigitalNote,0,0,100%,0,1,1,0,0,1,1,0,3,0,0,0,0,1," 595,312 ",0.15,1,0,1,Jun-17,29,1,1,0,0,0,1,0
 TaaS,0,0,100%,1,0,0,1,1,0,0,0,2,0,0,0,1,1," 7,635,601 ",1.00,1,1,0,Mar-17,31,1,1,1,1,0,1,0
 Synereo 1,0,1,51%,0,1,1,1,1,0,1,0,1,0,0,0,0,1," 126,023 ",0.19,1,0,1,Mar-15,30,1,1,0,0,0,1,0
 Synereo 2,1,0,95%,0,1,1,1,1,0,1,0,1,0,0,0,0,1," 4,700,000 ",0.03,1,0,1,Sep-16,30,1,1,0,0,0,1,0
 ION,0,0,100%,1,1,1,1,1,0,1,0,1,0,0,0,0,1," 500,000 ",0.46,1,0,1,Apr-16,42,1,0,0,0,0,1,0
 Quantum Resis...,0,0,100%,0,1,1,0,0,1,1,0,3,0,0,1,0,1," 4,160,000 ",0.50,1,1,0,May-17,24,1,1,1,0,0,0,0
 Mysterium,0,0,100%,0,1,0,1,1,0,1,0,1,0,0,0,0,1," 14,380,000 ",0.89,1,0,1,May-17,0.03125,1,0,1,0,1,0,1
 Rialto,0,0,100%,1,1,0,1,1,0,0,0,1,0,0,0,0,1," 10,000,000 ",1.00,1,0,1,Jun-17,7,1,1,1,0,0,1,0
 adToken,0,0,100%,1,1,0,1,1,0,0,1,1,0,0,1,0,1," 7,697,932 ",0.50,1,1,0,Jun-17,0.0003472222,1,0,1,0,0,0,1
 Golos,0,0,100%,0,1,1,1,1,0,0,0,1,0,0,1,0,1," 453,000 ",0.60,1,0,1,Nov-16,,0,1,0,1,0,0,0
 Safe Exchange...,0,0,100%,1,1,1,0,0,0,0,1,2,0,1,1,1,1," 50,579 ",0.99,0,0,1,Dec-15,45,1,1,0,1,0,0,0
 Ecobit,0,0,100%,1,0,0,0,0,0,0,1,2,0,0,0,1,1," 5,000,000 ",1.00,1,0,1,Apr-17,68,1,1,1,1,0,0,0
 Polybius,0,0,100%,1,0,0,0,0,0,0,0,2,0,0,0,1,1," 32,298,489 ",0.93,0,0,1,May-17,30,1,1,1,0,0,1,0
 TokenCard,0,0,100%,1,1,0,1,0,0,0,0,1,0,0,0,0,1," 12,700,000 ",0.65,1,0,1,May-17,0.0208333333,1,0,1,1,1,0,1
 Wagerr,0,0,100%,1,1,1,1,1,0,0,0,1,1,1,0,0,0," 10,000,000 ",0.85,1,0,1,Jun-17,21,1,1,0,0,0,1,0
 OBITS,0,0,100%,1,1,1,0,0,1,0,0,2,1,1,0,1,1," 725,550 ",0.70,1,0,1,Nov-15,62,1,1,0,1,0,1,0
 Voxels,0,0,100%,1,0,1,1,0,0,1,0,1,0,0,0,0,1," 18,400,000 ",0.15,1,0,1,Nov-15,42,1,1,0,0,0,0,0
 Databits,0,0,100%,1,0,0,1,1,0,0,0,1,0,0,0,0,1," 1,069,525 ",0.70,1,0,1,Jan-17,30,1,1,0,0,0,1,0
 Bankcoin,0,0,100%,1,1,1,0,1,1,1,0,3,0,0,0,0,0," 1,000,000 ",0.72,1,0,1,Nov-16,45,1,1,1,1,0,0,0
 WeTrust,0,0,100%,1,1,0,1,1,0,0,0,1,0,0,1,0,1," 5,000,000 ",0.80,1,0,1,Mar-17,12,1,1,1,0,0,0,0
 SONM,0,0,100%,1,1,0,1,1,0,0,0,1,0,0,0,1,1," 42,000,000 ",0.75,1,1,0,Jun-17,4,1,0,1,0,0,0,0
 Agoras Tokens,0,0,100%,0,1,1,0,0,1,1,0,3,0,0,0,0,0,,0.50,1,1,0,Nov-14,100,0,1,0,0,0,0,0
 Santiment Net...,0,0,100%,1,1,0,1,1,0,0,0,1,0,0,0,0,1," 11,700,000 ",0.75,1,1,0,Jul-17,1,1,0,1,0,0,0,1
 NeosCoin,0,0,100%,0,1,1,0,1,1,1,0,3,0,0,0,0,1," 68,750 ",0.05,1,0,1,Aug-14,21,1,1,0,0,0,1,0
 Cofound.it,0,0,100%,1,1,0,1,1,0,0,0,1,0,0,0,0,1," 14,859,095 ",0.25,1,1,0,Jun-17,3,1,0,1,0,0,0,0
 BCAP,1,0,77%,1,0,0,1,1,0,0,0,1,0,0,0,1,1," 10,000,000 ",1.00,1,1,0,Apr-17,0.25,1,0,1,0,0,0,0
 Chronobank,1,0,57%,1,0,0,1,0,0,0,0,1,0,0,0,0,1," 5,400,000 ",0.88,0,1,0,Dec-16,60,1,1,1,1,0,1,0
 Nexium,0,0,100%,1,1,0,1,1,0,0,0,1,0,0,0,0,1," 324,266 ",0.70,1,0,1,Nov-16,30,1,0,1,1,0,0,0
 E-coin,0,0,100%,0,1,1,0,1,1,0,0,3,1,1,1,0,1," 4,000,000 ",,0,0,1,Dec-16,100,0,1,1,1,0,1,0
 Patientory,0,0,100%,1,1,0,1,1,0,0,0,1,0,0,0,0,1," 7,200,000 ",0.70,1,0,1,May-17,4,1,0,1,0,0,0,0
 Pluton,0,0,100%,0,1,0,0,1,1,0,0,3,0,0,0,0,0," 1,000,000 ",0.04,1,0,1,Jun-16,30,1,1,1,0,0,0,0
 SaluS,0,0,100%,0,1,1,0,0,1,1,0,3,0,0,0,0,0," 18,276 ",1.00,0,1,0,Jan-16,13,1,1,0,0,0,1,0
 LuckChain,0,0,100%,1,1,1,1,1,0,0,0,1,0,0,0,0,1,,0.90,1,0,1,Oct-16,90,1,0,0,0,0,1,0
 ToaCoin,0,0,100%,1,0,1,1,0,0,1,1,1,0,0,0,0,1,,,0,1,0,Jun-17,10,1,0,0,0,0,1,0
 HEAT,0,0,100%,1,1,1,0,1,1,1,0,3,0,0,0,0,1," 900,000 ",,0,1,0,Jul-16,30,1,1,1,1,0,0,0
 Matchpool,0,0,100%,1,0,0,1,1,0,0,0,1,0,0,0,0,1," 5,700,000 ",0.60,1,0,1,Apr-17,2,1,0,1,0,1,0,0
 Monaco,0,0,100%,1,0,0,1,0,0,0,0,1,0,0,0,0,1," 25,000,000 ",0.30,1,0,1,May-17,30,1,0,1,0,0,0,0
 Mothership,0,0,100%,1,1,1,1,0,0,0,0,1,0,0,0,1,1," 5,406,897 ",0.70,1,1,0,Jul-17,12,1,0,1,0,0,0,0
 EncryptoTel,0,0,100%,1,0,0,1,0,0,0,0,1,0,1,0,0,1," 4,429,211 ",0.70,1,0,1,Apr-17,37,1,1,1,1,0,0,0
 Bitcrystals,0,0,100%,1,1,0,1,1,0,0,0,1,0,1,0,0,1," 584,478 ",0.70,1,0,1,Aug-15,30,1,1,0,0,0,1,0
 Rise,0,0,100%,0,1,0,0,0,1,0,0,3,0,0,1,0,1," 935,000 ",0.88,1,0,1,May-16,45,1,1,0,1,0,1,0
 Gambit,0,0,100%,1,1,0,1,1,0,0,0,1,0,0,0,0,0," 119,400 ",1.00,1,1,0,May-15,14,1,0,0,0,0,1,0
 Nimiq,0,0,100%,0,1,0,0,0,1,1,0,3,0,0,0,0,0," 18,000,000 ",0.50,1,0,1,Jul-17,10,1,0,1,0,0,0,0
 Lunyr,0,0,100%,0,0,0,1,1,0,0,0,1,0,0,1,0,1," 3,400,000 ",0.78,1,1,0,Mar-17,28,1,0,1,0,0,0,0
