"","name","traditional_funding_before","traditional_funding_after","%","profit","opensource_solution","nonprofit_cryptocurrency","existence_m","fte","blockchain","single","token_utility_product","only_payment","transaction","generation","other_usage","voting_shareholder","voting_product","voting_other","profit_sharing","non-dividend_return","info","funding","coin_offered","cap_money","same_price","expensive","cheaper","price_ratio","start_date","ICO_days","cap_time","bitcoin","Ethereum","other_bc","bs","other_p","minimum_pledge","high_transaction_fee","u_access_service","u_profit_sharing","u_transaction","u_other","platform_used","bigger_than_10m","mojority_offered","In_2017","traditional_funding","sold_fast","big_team","funding_standardized","cluster"
"1","Ethereum",0,0,1,0,1,0,"7","7",1,1,1,1,0,1,0,0,0,1,0,0,1,1.8e+07,0.83,0,0,1,0,1.4958863126,"Jul-14",42,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0.0599427311,1
"2","Golem",0,0,1,0,1,0,"Unknown","12",1,0,1,1,0,0,0,0,0,0,0,0,1,8600000,0.82,1,1,0,0,1,"Nov-16",1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0.0286074889,2
"3","Lykke",1,1,0.2386,1,0,0,"24","50",1,0,0,0,0,1,1,1,0,0,1,0,1,1161338,0.02,0,1,0,0,1,"Sep-16",28,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0.0038104382,2
"4","Lisk",0,0,1,0,1,0,"2","5",1,1,1,1,0,1,0,0,0,1,0,0,1,6e+07,0.85,0,0,1,0,1.15,"Feb-16",28,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0.1999512606,1
"5","Qtum",1,0,0.9397,0,1,0,"5","18",1,1,1,1,0,1,0,0,0,0,0,0,1,15600000,0.51,1,0,1,0,1.267,"Apr-17",5,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0.0519422438,1
"6","Gnosis",0,0,1,1,0,0,"27","8",1,0,1,1,0,0,0,0,0,0,0,0,1,12500000,0.05,1,0,0,1,1,"Apr-17",1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0.0416082809,2
"7","Humaniq",0,0,1,0,1,0,"12","40",1,0,0,1,0,1,0,0,0,0,0,0,1,5163000,0.86,0,0,1,0,1.5,"Apr-17",21,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0.0171501242,1
"8","Iconomi",0,0,1,1,0,0,"7","11",1,0,0,0,0,0,1,1,1,1,1,0,1,10576227,0.85,0,0,1,0,1.15,"Aug-16",32,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0.0351953135,2
"9","SJCX",0,1,0.0861281338,1,0,0,"35","8",1,0,1,1,0,1,0,0,0,0,0,0,1,461802,0.7,1,0,1,0,1.0454545455,"Sep-14",31,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0.0014785095,1
"10","Storj",1,0,0.861432401,1,0,0,"71","25",1,0,1,1,0,1,0,0,0,0,0,0,1,3e+07,0.25,1,1,0,0,1,"May-17",6,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0.0999451681,2
"11","BAT",1,0,0.833,1,0,0,"24","12",1,0,1,1,0,0,0,0,0,0,0,0,1,3.5e+07,0.67,1,1,0,0,1,"May-17",0.002778,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0.1166128502,2
"12","Status",0,0,1,0,1,0,"8","13",1,0,1,1,0,0,1,1,1,1,0,0,1,99400000,0.44,1,1,0,0,1,"Jun-17",1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0.3312925953,2
"13","Bancor",0,0,1,1,0,0,"10","11",1,0,1,0,1,0,0,0,0,0,0,0,1,1.47e+08,0.5,0,1,0,0,1,"Jun-17",1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0.4899689286,2
"14","Civic",1,0,0.923,1,0,0,"12","2",1,0,1,1,0,0,1,0,0,0,0,0,1,3.3e+07,0.33,1,1,0,0,1,"Jun-17",1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0.1099457774,2
"15","EOS",0,0,1,0,1,0,"Unknown","16",1,1,0,0,0,0,0,0,0,0,0,0,0,3e+08,0.9,0,0,0,0,1,"Jun-17",351,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1
"16","IOTA",0,0,1,0,0,1,"20","Unknown",1,1,0,1,1,0,1,0,0,0,0,0,1,584000,1,0,0,1,0,1.15,"Nov-15",27,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.001885861,1
"17","Tezos",0,0,1,0,1,0,"36","2",1,1,0,1,1,0,0,0,0,0,0,0,1,2.32e+08,0.79,0,0,1,0,1.2,"Jul-17",14,1,1,1,0,0,0,200,0,0,0,1,0,0,1,1,1,0,0,0,0.7733195238,1
"18","NEM",0,0,1,0,1,0,"Unknown","4",1,1,1,1,0,1,0,0,0,1,0,0,0,50000,1,1,0,1,0,55,"Jan-14",15,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0001057525,1
"19","Stratis",0,0,1,1,0,0,"1","9",1,1,1,0,0,1,1,0,0,0,0,0,1,6e+05,0.86,0,0,1,0,1.2,"Jul-16",35,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0019391975,1
"20","NEO (2nd)",0,0,1,0,1,0,"26","12",1,1,1,1,0,1,1,1,1,0,0,1,1,4500000,0.23,0,0,1,0,1.2,"Aug-16",31,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0149399896,1
"21","BitConnect",0,0,1,0,0,1,"1","Unknown",1,1,0,1,1,1,0,0,0,0,0,0,1,1050000,0.17,0,0,1,0,1.4,"Nov-16",56,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0034392889,1
"22","Veritaseum",0,0,1,1,0,0,"30","5+",1,0,0,0,0,0,0,0,0,0,0,0,0,1.1e+07,0.51,0,0,1,0,1.2,"Apr-17",31,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.0366079762,2
"23","Waves",0,0,1,1,0,0,"3","11",1,1,0,1,0,1,1,0,1,0,0,0,1,1.6e+07,0.85,0,0,1,0,1.2,"Apr-16",33,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0.0532756583,1
"24","Augur",0,0,1,1,0,0,"12","Unknown",1,0,0,0,0,0,1,0,0,1,1,0,1,5300000,0.8,0,0,1,0,1.15,"Aug-15",45,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0.0176068187,2
"25","Populous",0,0,1,1,0,0,"24","3",1,0,1,1,0,0,0,0,0,0,0,0,1,10220400,0.66,1,0,0,0,1.2,"Jul-17",19,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0.0340091513,2
"26","MaidSafeCoin",0,1,0.79,0,1,0,"95","Unknown",1,1,1,1,0,1,0,0,0,0,0,0,0,6e+06,0.1,1,1,0,0,1,"Apr-14",0.25,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0.0199402942,2
"27","DigixDAO",0,0,1,1,0,0,"24","3",1,0,0,1,0,0,1,1,1,0,1,1,1,5500000,0.85,1,0,1,0,1.3,"Mar-16",0.5,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0.018273526,2
"28","OmiseGo",1,0,0.55,1,0,0,"49","58",1,0,1,1,0,0,0,0,0,0,0,0,1,2.5e+07,0.65,1,1,0,0,1,"Jun-17",0,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0.083277486,2
"29","Komodo",0,0,1,0,0,1,"30","Unknown",1,1,0,1,1,1,0,0,0,0,0,0,1,1983781,0.9,1,0,1,0,1.25,"Oct-16",35,1,1,0,1,0,0,0.01,0,0,0,1,0,0,0,1,0,0,0,1,0.0065520819,1
"30","TenX",1,0,0.97,1,0,0,"24","9",1,0,0,0,0,0,0,0,0,0,1,1,1,3.4e+07,0.8,1,0,1,0,1.2,"Jul-17",0.004,1,1,1,1,0,1,5.71,1,0,1,0,0,1,1,1,1,1,1,0,0.1132793138,2
"31","MobileGo",0,0,1,1,0,0,"12","100+",0,0,1,1,0,0,1,0,0,0,1,1,1,5.3e+07,0.7,0,0,1,0,1.22,"Apr-17",30,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0.1766165057,2
"32","Metal",1,0,0.9535476063,1,0,0,"Unknown","7",1,0,0,1,1,0,0,0,0,0,0,0,1,2e+06,0.29,1,0,1,0,3.6,"Jun-17",1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0.0066061485,2
"33","SingularDTV",0,0,1,1,0,0,"12","Unknown",0,0,1,0,0,0,1,0,0,0,1,1,1,7500000,0.5,1,1,0,0,1,"Oct-16",0.02,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0.0249405988,2
"34","SysCoin",0,0,1,1,0,0,"Unknown","Unknown",1,1,1,1,0,1,0,0,0,0,0,0,1,6e+05,0.15,1,0,1,0,1.1139784946,"Aug-14",25,1,0,0,0,0,1,100,0,1,0,0,0,1,0,0,0,0,0,1,0.0019391975,1
"35","FirstBlood",0,0,1,1,0,0,"3","6",1,0,1,0,0,0,1,0,0,0,0,0,1,5500000,0.85,1,1,0,0,1,"Sep-16",0.02,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0.018273526,2
"36","Aragon",0,0,1,0,1,0,"Unknown","2",1,0,1,0,0,1,1,1,1,1,0,0,1,2.5e+07,0.7,1,1,0,0,1,"May-17",0.02,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0.083277486,2
"37","Ark",0,0,1,0,1,0,"Unknown","20",1,1,1,1,0,0,1,0,0,1,0,0,1,998000,0.75,0,0,1,0,1.7,"Nov-16",35,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0.003265945,1
"38","Metaverse Ent...",0,0,1,1,0,0,"Unknown","17",1,1,1,1,0,1,0,0,0,0,0,0,1,2250000,0.22,1,1,0,0,1,"Aug-16",31,1,1,0,0,0,1,150,0,1,0,0,0,1,0,0,0,0,0,1,0.0074395326,1
"39","FunFair",0,0,1,1,0,0,"12","20",0,0,1,1,0,0,0,0,0,0,0,0,1,2.6e+07,0.21,1,1,0,0,1,"Jun-17",0.1666666667,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0.0866110225,2
"40","Nexus",0,0,1,1,0,0,"36","5",0,0,1,1,0,0,0,0,0,0,0,0,1,6492286,0.95,1,0,1,0,1.55,"Jul-17",28,1,0,1,0,0,0,8,0,1,0,0,0,0,0,1,1,0,0,0,0.0215813475,2
"41","DECENT",0,0,1,0,1,0,"12","Unknown",1,1,1,1,0,0,1,0,0,0,0,0,1,4740000,0.7,1,0,1,0,2.5,"Sep-16",56,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0.0157400383,1
"42","Blocknet",0,0,1,1,0,0,"Unknown","Unknown",1,1,1,1,0,0,0,0,0,0,0,0,0,950064.46610545,0.6323,1,1,0,0,1,"Oct-14",30,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0031061502,1
"43","Edgeless",0,0,1,1,0,0,"Unknown","7",1,0,1,0,0,0,1,0,0,0,1,0,1,2e+06,0.88,1,0,1,0,1.1,"Feb-17",21,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0.0066061485,2
"44","ReddCoin",0,0,1,0,0,1,"Unknown","Unknown",1,1,0,1,1,1,0,0,0,0,0,0,1,1e+05,0.05,1,1,0,0,1,"Jan-14",26,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0002724293,1
"45","Round",0,0,1,1,0,0,"Unknown","Unknown",1,0,1,1,0,1,0,0,0,0,0,0,0,650000,0.63,1,1,0,0,1,"Nov-16",0.01,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0.0021058744,2
"46","Peerplays",1,0,0.5263,1,0,0,"12","7",1,1,0,0,0,0,1,1,1,0,1,0,1,5e+06,0.16,1,0,1,0,1.09,"Feb-17",84,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0.0166067578,2
"47","Wings",0,0,1,0,1,0,"Unknown","12",1,0,1,1,0,0,1,0,0,1,0,1,1,1400000,0.75,1,0,1,0,1.3,"Nov-16",49,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0.0046060267,2
"48","Etheroll",0,0,1,1,0,0,"Unknown","Unknown",1,0,1,1,0,0,0,0,0,0,1,0,1,355208,0.91,1,0,1,0,2,"Feb-17",14,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0.0011231745,2
"49","Pillar",0,0,1,1,0,0,"Unknown","4",1,0,1,0,0,0,0,0,0,0,0,0,1,21210000,0.72,1,1,0,0,1,"Jul-17",2.5,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0.070643383,2
"50","iExec RLC",0,0,1,1,0,0,"15","10",1,0,1,1,0,0,0,0,0,0,0,0,1,1.2e+07,0.69,1,0,1,0,1.2,"Apr-17",0.23,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0.0399415127,2
"51","vSlice",0,0,1,1,0,0,"5","Unknown",1,0,0,0,0,0,1,0,0,0,1,0,1,1647000,1,1,0,1,0,1.3,"Nov-16",28,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0.0054294102,2
"52","Melon",0,0,1,1,0,0,"Unknown","9",1,0,1,1,0,1,0,0,0,0,0,0,1,2900000,0.4,1,1,0,0,1,"Feb-17",0.0069444444,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0.0096063313,2
"53","Xaurum",0,0,1,0,0,1,"Unknown","Unknown",1,0,0,0,1,1,0,0,0,0,0,0,0,851342,1,0,0,0,0,1,"Jul-16",13,1,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0.0027770552,1
"54","BitBay",0,0,1,1,0,0,"Unknown","3+",1,1,1,0,0,0,0,0,0,0,0,0,0,390000,1,1,0,1,0,1.19,"Nov-14",4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0.0012391549,1
"55","DigitalNote",0,0,1,0,0,1,"37","Unknown",1,1,0,0,1,1,0,0,0,0,0,0,1,595312,0.15,1,0,1,0,1.33,"Jun-17",29,1,1,0,0,0,1,1500,0,0,0,1,0,1,0,0,1,0,0,1,0.0019235699,1
"56","TaaS",0,0,1,1,0,0,"10","9",0,0,1,1,0,0,0,0,0,0,1,0,1,7635601,1,1,1,0,0,1,"Mar-17",31,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0.0253926297,2
"57","Synereo 1",0,1,0.512,0,1,0,"24","5",1,1,1,1,0,1,0,0,0,0,0,0,1,126023,0.19,1,0,1,0,1.5,"Mar-15",30,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0.0003591779,1
"58","Synereo 2",1,0,0.9502584197,0,1,0,"42","Unknown",1,1,1,1,0,1,0,0,0,0,0,0,1,4700000,0.03,1,0,1,0,1.21,"Sep-16",30,1,1,0,0,0,1,6,0,1,0,0,0,1,0,0,0,1,0,1,0.0156066968,1
"59","ION",0,0,1,1,0,0,"12","6",1,1,1,1,0,1,0,0,0,0,0,0,1,5e+05,0.46,1,0,1,0,1.3,"Apr-16",42,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0016058439,1
"60","Quantum Resis...",0,0,1,0,1,0,"6","6",1,1,0,0,1,1,0,0,0,1,0,0,1,4160000,0.5,1,1,0,0,1,"May-17",24,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0138065872,1
"61","Mysterium",0,0,1,0,1,0,"6","8",1,0,1,1,0,1,0,0,0,0,0,0,1,14380000,0.89,1,0,1,0,1.2,"May-17",0.03125,1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0.0478753293,2
"62","Rialto",0,0,1,1,0,0,"Unknown","5",1,0,1,1,0,0,0,0,0,0,0,0,1,1e+07,1,1,0,1,0,1.0909090909,"Jun-17",7,1,1,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0.0332744398,2
"63","adToken",0,0,1,1,0,0,"12","12",1,0,1,1,0,0,1,0,0,1,0,0,1,7697932,0.5,1,1,0,0,1,"Jun-17",0.0003472222,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0.0256004123,2
"64","Golos",0,0,1,0,1,0,"Unknown","14",1,1,1,1,0,0,0,0,0,1,0,0,1,453000,0.6,1,0,1,0,1.25,"Nov-16",34,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0014491677,1
"65","Safe Exchange...",0,0,1,1,0,0,"1","5",1,1,0,0,0,0,1,0,1,1,1,0,1,50579,0.99,0,0,1,0,1.25,"Dec-15",45,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0001076826,2
"66","Ecobit",0,0,1,1,0,0,"Unknown","11",0,0,0,0,0,0,1,0,0,0,1,1,1,5e+06,1,1,0,1,0,1.5,"Apr-17",68,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0.0166067578,2
"67","Polybius",0,0,1,1,0,0,"Unknown","12",0,0,0,0,0,0,0,0,0,0,1,0,1,32298489,0.93,0,0,1,0,1.25,"May-17",30,1,1,1,0,0,1,10,0,0,1,0,0,1,1,1,1,0,0,1,0.1076072649,2
"68","TokenCard",0,0,1,1,0,0,"Unknown","10",1,0,1,0,0,0,0,0,0,0,0,0,1,12700000,0.65,1,0,1,0,1.5,"May-17",0.0208333333,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0.0422749882,2
"69","Wagerr",0,0,1,1,0,0,"156","6",1,1,1,1,0,0,0,1,1,0,0,0,0,1e+07,0.85,1,0,1,0,2,"Jun-17",21,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0.0332744398,1
"70","OBITS",0,0,1,1,0,0,"8","Unknown",1,1,0,0,0,0,0,1,1,0,1,0,1,725550,0.7,1,0,1,0,1,"Nov-15",62,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0.002357723,2
"71","Voxels",0,0,1,1,0,0,"36","6",0,1,1,0,0,1,0,0,0,0,0,0,1,18400000,0.15,1,0,1,0,1.538,"Nov-15",42,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0612761457,1
"72","Databits",0,0,1,1,0,0,"3","Unknown",0,0,1,1,0,0,0,0,0,0,0,0,1,1069525,0.7,1,0,1,0,1.5,"Jan-17",30,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0.0035043762,1
"73","Bankcoin",0,0,1,1,0,0,"Unknown","4",1,1,0,1,1,1,0,0,0,0,0,0,0,1e+06,0.72,1,0,1,0,1.25,"Nov-16",45,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0032726121,1
"74","WeTrust",0,0,1,1,0,0,"7","10",1,0,1,1,0,0,0,0,0,1,0,0,1,5e+06,0.8,1,0,1,0,1.3,"Mar-17",12,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0.0166067578,2
"75","SONM",0,0,1,1,0,0,"3","8",1,0,1,1,0,0,0,0,0,0,1,0,1,4.2e+07,0.75,1,1,0,0,1,"Jun-17",4,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0.1399476051,2
"76","Agoras Tokens",0,0,1,0,1,0,"Unknown","Unknown",1,1,0,0,0,1,0,0,0,0,0,0,0,2e+06,0.5,1,1,0,0,1,"Nov-14",100,0,1,0,0,0,0,100,0,1,0,0,0,0,0,0,0,0,0,1,0.0066061485,1
"77","Santiment Net...",0,0,1,1,0,0,"8","8",1,0,1,1,0,0,0,0,0,0,0,0,1,11700000,0.75,1,1,0,0,1,"Jul-17",1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0.0389414517,2
"78","NeosCoin",0,0,1,0,0,1,"Unknown","Unknown",1,1,0,1,1,1,0,0,0,0,0,0,1,68750,0.05,1,0,1,0,1.25,"Aug-14",21,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0.0001682563,1
"79","Cofound.it",0,0,1,1,0,0,"2","6",1,0,1,1,0,0,0,0,0,0,0,0,1,14859095,0.25,1,1,0,0,1,"Jun-17",3,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0.04947241,2
"80","BCAP",1,0,0.7692307692,1,0,0,"42","3",0,0,1,1,0,0,0,0,0,0,1,0,1,1e+07,1,1,1,0,0,1,"Apr-17",0.25,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0.0332744398,2
"81","Chronobank",1,0,0.5744680851,1,0,0,"5","14",0,0,1,0,0,0,0,0,0,0,0,0,1,5400000,0.88,0,1,0,0,1,"Dec-16",60,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0.0179401723,2
"82","Nexium",0,0,1,1,0,0,"Unknown","3",1,0,1,1,0,0,0,0,0,0,0,0,1,324266.174492,0.7,1,0,1,0,1.2173913043,"Nov-16",30,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0010200288,2
"83","E-coin",0,0,1,0,0,1,"Unknown","Unknown",1,1,0,1,1,0,0,1,1,1,0,0,1,4e+06,0.63,0,0,1,0,1,"Dec-16",100,0,1,1,1,0,1,0.01,0,0,0,1,0,1,0,0,0,0,0,1,0.0132732213,1
"84","Patientory",0,0,1,1,0,0,"17","7",1,0,1,1,0,0,0,0,0,0,0,0,1,7200000,0.7,1,0,1,0,1.2,"May-17",4,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0.0239405379,2
"85","Pluton",0,0,1,0,0,1,"5","10",1,0,0,1,1,0,0,0,0,0,0,0,0,1e+06,0.04,1,0,1,0,1.03,"Jun-16",30,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0032726121,1
"86","SaluS",0,0,1,0,0,1,"Unknown","Unknown",1,1,0,0,1,1,0,0,0,0,0,0,0,18276.18,1,0,1,0,0,1,"Jan-16",13,1,1,0,0,0,1,6,0,0,0,1,0,1,0,1,0,0,0,1,0,1
"87","ToaCoin",0,0,1,1,0,0,"Unknown","5",0,1,1,0,0,1,1,0,0,0,0,1,1,1e+06,0.63,0,1,0,0,1,"Jun-17",10,1,0,0,0,0,1,500,0,1,0,0,0,1,0,0,1,0,0,0,0.0032726121,1
"88","HEAT",0,0,1,1,0,0,"Unknown","2",1,1,0,1,1,1,0,0,0,0,0,0,1,9e+05,0.63,0,1,0,0,1,"Jul-16",30,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0029392585,1
"89","Matchpool",0,0,1,1,0,0,"3","9",0,0,1,1,0,0,0,0,0,0,0,0,1,5700000,0.6,1,0,1,0,1.33,"Apr-17",2,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0.0189402333,2
"90","Monaco",0,0,1,1,0,0,"11","4",0,0,1,0,0,0,0,0,0,0,0,1,1,2.5e+07,0.3,1,0,1,0,1.5,"May-17",30,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0.083277486,2
"91","Mothership",0,0,1,1,0,0,"Unknown","6",1,1,1,0,0,0,0,0,0,0,1,0,1,5406897,0.7,1,1,0,0,1,"Jul-17",12,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0.0179631637,2
"92","EncryptoTel",0,0,1,1,0,0,"Unknown","3",0,0,1,0,0,0,0,0,1,0,0,1,1,4429211,0.7,1,0,1,0,1.05,"Apr-17",37,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0.0147040118,2
"93","Bitcrystals",0,0,1,1,0,0,"60","12",1,0,1,1,0,0,0,0,1,0,0,0,1,584478,0.7,1,0,1,0,1.5,"Aug-15",30,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0.0018874544,1
"94","Rise",0,0,1,0,1,0,"3","3",1,0,0,0,0,0,0,0,0,1,0,0,1,935000,0.88,1,0,1,0,1.25,"May-16",45,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0.0030559322,1
"95","Gambit",0,0,1,1,0,0,"14","Unknown",1,0,1,1,0,0,0,0,0,0,0,0,0,119400,1,1,1,0,0,1,"May-15",14,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0.0003370999,2
"96","Nimiq",0,0,1,0,1,0,"Unknown","14",1,0,0,0,0,1,0,0,0,0,0,0,0,1.8e+07,0.5,1,0,1,0,1.4,"Jul-17",10,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.0599427311,2
"97","Lunyr",0,0,1,0,1,0,"5","3",0,0,1,1,0,0,0,0,0,1,0,0,1,3400000,0.78,1,1,0,0,1,"Mar-17",28,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0.0112730995,2
